object_date,civstage+lateral<Calanus glacialis,civstage+lateral<Calanus hyperboreus,cvstage+lateral<Calanus glacialis,cvstage+lateral<Calanus hyperboreus,female+lateral<Calanus glacialis,female+lateral<Calanus hyperboreus
2013-08-15,7,311,138,234,76,172
2013-08-16,0,0,2,0,7,0
2013-08-18,0,0,0,0,0,4
2013-09-02,0,76,16,75,30,105
