object_annotation_category,total_lipids_ugC,fullness_ratio_carbon,month,month_true
civstage+lateral<Calanus hyperboreus,273.4109067377764,0.6161858222129692,8,8
cvstage+lateral<Calanus hyperboreus,813.5841554272607,0.5551453325628621,8,8
female+lateral<Calanus hyperboreus,999.1281943349296,0.5617595679792685,8,8
civstage+lateral<Calanus hyperboreus,530.8595145586894,0.616486213306891,8,8
female+lateral<Calanus hyperboreus,2474.291925946007,0.6116273254736055,8,8
cvstage+lateral<Calanus glacialis,292.2221986584045,0.5669842403441042,8,8
civstage+lateral<Calanus hyperboreus,245.9904645327897,0.5023783206686833,8,8
civstage+lateral<Calanus hyperboreus,338.1740362852624,0.5615397599476188,8,8
cvstage+lateral<Calanus hyperboreus,904.2917286662088,0.6486862302802687,8,8
cvstage+lateral<Calanus glacialis,327.943355940974,0.6006523740327585,8,8
civstage+lateral<Calanus hyperboreus,983.0240590682222,0.6067056390125508,8,8
female+lateral<Calanus hyperboreus,2232.07937071353,0.6792217212781179,8,8
cvstage+lateral<Calanus glacialis,392.33167169110993,0.6589070528811246,8,8
civstage+lateral<Calanus hyperboreus,372.5787367906569,0.5558095967168803,8,8
civstage+lateral<Calanus hyperboreus,314.24716931748594,0.5857298589659421,8,8
female+lateral<Calanus hyperboreus,1698.1198777877737,0.5729846466022488,8,8
female+lateral<Calanus glacialis,322.4015731567124,0.4774563307693135,8,8
female+lateral<Calanus hyperboreus,2186.4636181744067,0.6419099390302095,8,8
civstage+lateral<Calanus hyperboreus,316.6850509645711,0.5548811348963355,8,8
civstage+lateral<Calanus hyperboreus,380.07721108965416,0.5689397663955215,8,8
cvstage+lateral<Calanus hyperboreus,573.3069036679857,0.5257439396941651,8,8
female+lateral<Calanus hyperboreus,2083.2854902862305,0.6882619781607939,8,8
cvstage+lateral<Calanus hyperboreus,867.7381807455198,0.7044384092155345,8,8
female+lateral<Calanus hyperboreus,1261.3549312093648,0.5232686413224192,8,8
cvstage+lateral<Calanus hyperboreus,850.9193571200225,0.5803411531354177,8,8
cvstage+lateral<Calanus glacialis,291.97146419397217,0.63904385187015,8,8
cvstage+lateral<Calanus hyperboreus,1147.853969237382,0.6375443320020978,8,8
female+lateral<Calanus glacialis,214.28044556015257,0.4692761736759104,8,8
cvstage+lateral<Calanus hyperboreus,611.4731049365904,0.5522829150806393,8,8
female+lateral<Calanus glacialis,399.8768598962878,0.5571703439189081,8,8
female+lateral<Calanus hyperboreus,1894.3841522204027,0.5042956966989355,8,8
cvstage+lateral<Calanus glacialis,303.4439941104099,0.4555057237687528,8,8
cvstage+lateral<Calanus hyperboreus,843.3612890904702,0.4936441251000665,8,8
cvstage+lateral<Calanus hyperboreus,1288.3965981729516,0.6389665013698272,8,8
cvstage+lateral<Calanus hyperboreus,742.3225166719643,0.5557099888159323,8,8
civstage+lateral<Calanus hyperboreus,402.76893886036703,0.6571853890307441,8,8
female+lateral<Calanus hyperboreus,1600.6417093829666,0.528080301657711,8,8
female+lateral<Calanus hyperboreus,1253.053794921132,0.6022870220850839,8,8
cvstage+lateral<Calanus glacialis,215.59712748876453,0.5309270153394686,8,8
female+lateral<Calanus hyperboreus,1465.0654368480373,0.6342493198777781,8,8
cvstage+lateral<Calanus glacialis,218.82641987432615,0.5070082281562556,8,8
female+lateral<Calanus hyperboreus,1200.0652868471443,0.5223516383475861,8,8
cvstage+lateral<Calanus hyperboreus,937.391374227255,0.5791404715072771,8,8
female+lateral<Calanus hyperboreus,2112.1479956290987,0.5604479133355363,8,8
female+lateral<Calanus hyperboreus,995.9732577951446,0.5435039791595411,8,8
female+lateral<Calanus hyperboreus,1451.022065008019,0.5168225010494255,8,8
female+lateral<Calanus glacialis,248.49650426328108,0.5229279463943652,8,8
female+lateral<Calanus glacialis,215.48253873571863,0.468860254023357,8,8
civstage+lateral<Calanus hyperboreus,411.82892964846127,0.5261135306456625,8,8
civstage+lateral<Calanus hyperboreus,391.9213403624832,0.525913724155409,8,8
civstage+lateral<Calanus hyperboreus,608.2000120335701,0.6554113920624391,8,8
civstage+lateral<Calanus hyperboreus,477.8964869648845,0.6144116616954618,8,8
civstage+lateral<Calanus hyperboreus,218.23763347076795,0.5504693285290513,8,8
female+lateral<Calanus hyperboreus,1277.2298436119306,0.5225588381288598,8,8
cvstage+lateral<Calanus hyperboreus,930.3194643493432,0.5061663761205581,8,8
cvstage+lateral<Calanus hyperboreus,751.4245623185045,0.5587982601279773,8,8
cvstage+lateral<Calanus hyperboreus,537.6039935740304,0.523685544462543,8,8
cvstage+lateral<Calanus hyperboreus,480.97093039206703,0.4662953015441472,8,8
civstage+lateral<Calanus hyperboreus,349.7525949956964,0.6060946650981003,8,8
cvstage+lateral<Calanus glacialis,291.53283210182315,0.5770902112512702,8,8
cvstage+lateral<Calanus glacialis,341.38601992917836,0.6201431130865206,8,8
cvstage+lateral<Calanus glacialis,353.79241809276357,0.6548026974585716,8,8
cvstage+lateral<Calanus hyperboreus,1077.4746539700973,0.5813375797803882,8,8
cvstage+lateral<Calanus hyperboreus,967.5335183321172,0.7209321449970691,8,8
cvstage+lateral<Calanus hyperboreus,735.3116370093652,0.5146554871520554,8,8
civstage+lateral<Calanus hyperboreus,278.1561734401802,0.4322785077671771,8,8
cvstage+lateral<Calanus hyperboreus,1042.417895646022,0.6089402008447227,8,8
civstage+lateral<Calanus hyperboreus,200.18012212347617,0.4036960520436431,8,8
civstage+lateral<Calanus hyperboreus,396.9223177580636,0.5305595880279463,8,8
cvstage+lateral<Calanus glacialis,506.273032655323,0.56208221493851,8,8
female+lateral<Calanus hyperboreus,1598.3613997813995,0.5436324691925903,8,8
cvstage+lateral<Calanus hyperboreus,698.8071457627026,0.4758972866639762,8,8
cvstage+lateral<Calanus glacialis,276.1811824000274,0.6299587829702572,8,8
cvstage+lateral<Calanus glacialis,306.93659147896284,0.5475425684001872,8,8
civstage+lateral<Calanus hyperboreus,372.30848624855065,0.5263835103190557,8,8
civstage+lateral<Calanus hyperboreus,346.12192152641654,0.4946757803867228,8,8
female+lateral<Calanus hyperboreus,1515.4869072568963,0.6019117050140307,8,8
civstage+lateral<Calanus hyperboreus,381.0262033077792,0.6690802077807533,8,8
cvstage+lateral<Calanus hyperboreus,1271.2214497840548,0.6172898499692225,8,8
cvstage+lateral<Calanus hyperboreus,452.21963497618214,0.5050039469596092,8,8
civstage+lateral<Calanus hyperboreus,503.98809935585155,0.5117936884780864,8,8
cvstage+lateral<Calanus glacialis,281.2504133501441,0.5683454158041098,8,8
cvstage+lateral<Calanus glacialis,282.7392394432463,0.6124651567418703,8,8
cvstage+lateral<Calanus hyperboreus,966.5510343683032,0.5011727441898485,8,8
female+lateral<Calanus hyperboreus,1355.9963175328076,0.5174294216532724,8,8
civstage+lateral<Calanus hyperboreus,204.97272583566428,0.4890635276174491,8,8
cvstage+lateral<Calanus glacialis,322.2426265858001,0.4966289652394622,8,8
civstage+lateral<Calanus hyperboreus,320.2511503225111,0.6290045698008468,8,8
civstage+lateral<Calanus hyperboreus,160.21845794245706,0.3488516996385818,8,8
female+lateral<Calanus hyperboreus,1142.2203682914037,0.4611497909762523,8,8
civstage+lateral<Calanus hyperboreus,262.1093369346144,0.3824407210424688,8,8
female+lateral<Calanus hyperboreus,1355.897609682199,0.3773283951355438,8,8
cvstage+lateral<Calanus hyperboreus,476.2296379005168,0.4892364828126794,8,8
cvstage+lateral<Calanus glacialis,233.33917552635685,0.4749627667500597,8,8
cvstage+lateral<Calanus hyperboreus,1075.5385590004803,0.5562699716087921,8,8
cvstage+lateral<Calanus glacialis,251.42969116587423,0.530108307101768,8,8
civstage+lateral<Calanus hyperboreus,385.0332060092002,0.5882349148333365,8,8
female+lateral<Calanus hyperboreus,1116.8777523029178,0.6287856637197906,8,8
civstage+lateral<Calanus hyperboreus,390.55448699163026,0.5342486660935433,8,8
cvstage+lateral<Calanus hyperboreus,853.2423043843629,0.5373607054020785,8,8
cvstage+lateral<Calanus hyperboreus,889.6168089497818,0.5493845138468827,8,8
female+lateral<Calanus hyperboreus,2159.341572654127,0.5140951511567617,8,8
cvstage+lateral<Calanus hyperboreus,991.6512906671164,0.5673098131752045,8,8
female+lateral<Calanus hyperboreus,1544.4366990504118,0.5507864491319213,8,8
civstage+lateral<Calanus hyperboreus,314.4054622185408,0.5154123558594873,8,8
cvstage+lateral<Calanus glacialis,342.8310527395497,0.5038511282278118,8,8
civstage+lateral<Calanus hyperboreus,201.24600777989207,0.4785243920937889,8,8
civstage+lateral<Calanus hyperboreus,274.4564843112074,0.5210424849596912,8,8
cvstage+lateral<Calanus glacialis,263.50669952025214,0.5500820287027451,8,8
civstage+lateral<Calanus hyperboreus,260.28999698429567,0.536781196964043,8,8
cvstage+lateral<Calanus hyperboreus,1068.632349904802,0.5620574696074321,8,8
cvstage+lateral<Calanus hyperboreus,1186.853263009608,0.5976157173809874,8,8
civstage+lateral<Calanus hyperboreus,378.7904133637901,0.5388898646186682,8,8
cvstage+lateral<Calanus glacialis,309.10155435277164,0.5487742842307956,8,8
cvstage+lateral<Calanus hyperboreus,839.0758293363233,0.5549841353110297,8,8
civstage+lateral<Calanus hyperboreus,299.77372943279823,0.5296934298751613,8,8
cvstage+lateral<Calanus hyperboreus,762.7232286859752,0.4179319356753684,8,8
cvstage+lateral<Calanus hyperboreus,890.1396891271509,0.5312931777735165,8,8
civstage+lateral<Calanus hyperboreus,301.16434339605195,0.5798417068609376,8,8
cvstage+lateral<Calanus glacialis,341.8456072512228,0.5512705269968728,8,8
female+lateral<Calanus hyperboreus,1187.2328601586246,0.5169333032847786,8,8
female+lateral<Calanus hyperboreus,2094.726587368198,0.5893065058833934,8,8
female+lateral<Calanus hyperboreus,1892.314063011705,0.5561156991627264,8,8
female+lateral<Calanus hyperboreus,1302.8099467630996,0.4287863181473899,8,8
female+lateral<Calanus glacialis,433.3631215980942,0.6549804693670782,8,8
female+lateral<Calanus hyperboreus,1151.5202027112707,0.5537143661790993,8,8
female+lateral<Calanus hyperboreus,2183.735545899797,0.5835779723022237,8,8
female+lateral<Calanus hyperboreus,1490.1496570147383,0.5348371818369959,8,8
civstage+lateral<Calanus hyperboreus,322.9598772945042,0.5510834008762615,8,8
civstage+lateral<Calanus hyperboreus,462.0953739725392,0.5657785731992628,8,8
civstage+lateral<Calanus hyperboreus,270.4037993036067,0.5676191477596408,8,8
female+lateral<Calanus glacialis,489.2473797654539,0.5965045043084256,8,8
cvstage+lateral<Calanus glacialis,223.1996340806844,0.4689579991596483,8,8
cvstage+lateral<Calanus hyperboreus,595.7014440129022,0.4737190015115753,8,8
civstage+lateral<Calanus hyperboreus,402.63108109485273,0.6287764702964646,8,8
cvstage+lateral<Calanus hyperboreus,649.7221164004313,0.4872584678330451,8,8
cvstage+lateral<Calanus hyperboreus,1138.9378897604097,0.527642056446178,8,8
cvstage+lateral<Calanus hyperboreus,768.7250251213499,0.5473906241289742,8,8
cvstage+lateral<Calanus hyperboreus,961.464713448414,0.6025605225729129,8,8
cvstage+lateral<Calanus hyperboreus,1242.5559195802605,0.5555276837269596,8,8
cvstage+lateral<Calanus hyperboreus,822.5947066986522,0.5611020301986016,8,8
civstage+lateral<Calanus hyperboreus,420.4594770464856,0.6100455261555209,8,8
cvstage+lateral<Calanus hyperboreus,738.6084232204892,0.4895525655414803,8,8
female+lateral<Calanus hyperboreus,1895.255968976052,0.6266795743201337,8,8
female+lateral<Calanus glacialis,282.118612712076,0.5360374617538205,8,8
female+lateral<Calanus hyperboreus,1555.424495986609,0.567196547835845,8,8
cvstage+lateral<Calanus hyperboreus,783.9580723453386,0.5926399957157824,8,8
cvstage+lateral<Calanus hyperboreus,519.4519187490931,0.4650242396066712,8,8
female+lateral<Calanus hyperboreus,1335.8057387718256,0.5942582335477631,8,8
cvstage+lateral<Calanus glacialis,144.2299336724963,0.3812463226598515,8,8
cvstage+lateral<Calanus glacialis,311.52653667611986,0.6053238460978567,8,8
civstage+lateral<Calanus hyperboreus,382.99419761785714,0.581742215154176,8,8
cvstage+lateral<Calanus hyperboreus,640.0561242826132,0.6544210014370301,8,8
civstage+lateral<Calanus hyperboreus,224.70625342553635,0.6391078977967342,8,8
civstage+lateral<Calanus hyperboreus,424.7245236468543,0.6035596898279154,8,8
female+lateral<Calanus glacialis,182.26502182518988,0.669087989721929,8,8
